dwell_time_total,context,country,country_name,weight,age,age_group,gender,q06_vote,q01_currently_distributed,q03_household_income,q02_should_distributed,q04_household_size,q05_income,q05_income_group,q08_gap,q13_responsibility_govt,q14_live,q15_education
97,3,ES,Spain,1.38016368045989,55_and_over,4,1,13,5,5,6,6,349,1,5,1,2,NA
176,3,ES,Spain,1.3622419429943156,35_54,3,2,20,3,4,6,3,331,1,2,NA,NA,NA
118,2,ES,Spain,1.3622419429943156,35_54,3,2,20,3,3,4,2,328,1,2,NA,NA,NA
172,2,ES,Spain,0.45630889606036246,18_34,2,1,19,6,4,6,8,356,1,2,6,3,16
81,2,ES,Spain,1.3622419429943156,35_54,3,2,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,3,ES,Spain,0.8618055566446141,35_54,3,1,20,6,4,4,7,354,1,3,6,4,16
355,2,ES,Spain,0.8618055566446141,35_54,3,1,14,2,5,5,3,331,1,1,2,2,14
71,2,ES,Spain,0.7212800061246206,18_34,2,2,20,2,3,NA,NA,NA,NA,NA,NA,NA,NA
436,2,ES,Spain,1.3622419429943156,35_54,3,2,20,2,3,3,3,332,1,1,2,4,16
159,3,ES,Spain,0.8618055566446141,35_54,3,1,16,2,3,5,2,330,1,1,1,2,16
921,3,ES,Spain,1.3622419429943156,35_54,3,2,20,3,3,3,3,333,1,2,1,1,16
302,3,ES,Spain,0.8618055566446141,35_54,3,1,19,1,5,6,4,336,1,1,1,4,14
NA,2,ES,Spain,0.45630889606036246,18_34,2,1,20,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,2,ES,Spain,1.38016368045989,55_and_over,4,1,15,2,3,5,2,330,1,NA,NA,NA,NA
81,2,ES,Spain,0.45630889606036246,18_34,2,1,15,3,3,3,5,341,1,3,6,3,16
81,2,ES,Spain,0.7212800061246206,18_34,2,2,20,3,3,4,4,337,1,2,6,1,15
54,2,ES,Spain,1.38016368045989,55_and_over,4,1,20,6,5,6,8,360,1,NA,NA,NA,NA
60,2,ES,Spain,0.45630889606036246,18_34,2,1,13,6,3,4,3,NA,NA,NA,NA,NA,NA
63,2,ES,Spain,0.7212800061246206,18_34,2,2,20,4,3,4,3,NA,NA,NA,NA,NA,NA
60,3,ES,Spain,0.45630889606036246,18_34,2,1,20,1,3,2,4,336,1,1,5,3,15
131,3,ES,Spain,0.45630889606036246,18_34,2,1,13,2,5,5,5,345,1,2,NA,NA,NA
61,2,ES,Spain,1.3622419429943156,35_54,3,2,20,5,4,5,4,336,1,4,6,NA,NA
223,3,ES,Spain,2.18160214821541,55_and_over,4,2,20,2,4,4,3,333,1,2,1,1,16
28,3,ES,Spain,0.7212800061246206,18_34,2,2,19,1,2,2,2,326,1,2,2,NA,NA
87,3,ES,Spain,0.8618055566446141,35_54,3,1,19,3,3,3,3,331,1,2,6,4,12
41,2,ES,Spain,0.45630889606036246,18_34,2,1,20,4,3,4,6,350,1,3,NA,NA,NA
281,3,ES,Spain,0.7212800061246206,18_34,2,2,19,2,3,6,3,331,1,2,1,4,13
41,2,ES,Spain,0.45630889606036246,18_34,2,1,20,4,2,2,4,339,1,4,NA,NA,NA
57,3,ES,Spain,0.45630889606036246,18_34,2,1,20,2,3,4,8,NA,NA,NA,NA,NA,NA
108,3,ES,Spain,0.45630889606036246,18_34,2,1,20,2,3,5,3,NA,NA,NA,NA,NA,NA
132,3,ES,Spain,1.38016368045989,55_and_over,4,1,20,3,3,3,2,328,1,2,NA,NA,NA
919,3,ES,Spain,1.38016368045989,55_and_over,4,1,20,1,4,3,2,328,1,1,3,2,13
222,2,ES,Spain,0.45630889606036246,18_34,2,1,13,2,4,5,4,337,1,1,1,1,14
240,3,ES,Spain,0.7212800061246206,18_34,2,2,15,1,3,6,3,333,1,1,1,2,13
82,2,ES,Spain,0.7212800061246206,18_34,2,2,15,2,3,2,5,NA,NA,NA,NA,NA,NA
69,3,ES,Spain,0.7212800061246206,18_34,2,2,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,2,ES,Spain,0.8618055566446141,35_54,3,1,20,5,3,3,3,331,1,2,6,NA,NA
407,3,ES,Spain,0.8618055566446141,35_54,3,1,20,1,2,1,NA,NA,NA,NA,NA,NA,NA
